person_id,crash_id,road_user,gender,age,age_group,load_ts
2133,20222207,Pedestrian,Male,15,0_to_16,2025-05-06T08:22:34
2134,20224012,Motorcycle rider,Male,57,40_to_64,2025-05-06T08:22:34
2135,20221052,Pedestrian,Female,69,65_to_74,2025-05-06T08:22:34
2136,20222178,Driver,Male,24,17_to_25,2025-05-06T08:22:34
2137,20221191,Driver,Male,56,40_to_64,2025-05-06T08:22:34
2138,20221051,Passenger,Male,32,26_to_39,2025-05-06T08:22:34
2139,20221051,Passenger,Male,30,26_to_39,2025-05-06T08:22:34
2140,20223050,Motorcycle rider,Male,59,40_to_64,2025-05-06T08:22:34
2141,20221234,Pedestrian,Female,62,40_to_64,2025-05-06T08:22:34
2142,20222068,Motorcycle rider,Male,43,40_to_64,2025-05-06T08:22:34
2143,20226023,Driver,Male,68,65_to_74,2025-05-06T08:22:34
2144,20221002,Passenger,Male,10,0_to_16,2025-05-06T08:22:34
2145,20222126,Driver,Male,64,40_to_64,2025-05-06T08:22:34
2146,20222102,Driver,Male,80,75_or_older,2025-05-06T08:22:34
2147,20221176,Driver,Male,22,17_to_25,2025-05-06T08:22:34
2148,20226011,Passenger,Male,20,17_to_25,2025-05-06T08:22:34
2149,20221037,Pedestrian,Male,71,65_to_74,2025-05-06T08:22:34
2150,20222139,Pedestrian,Male,61,40_to_64,2025-05-06T08:22:34
2151,20228002,Driver,Male,24,17_to_25,2025-05-06T08:22:34
2152,20222211,Driver,Female,45,40_to_64,2025-05-06T08:22:34
2153,20221077,Driver,Male,22,17_to_25,2025-05-06T08:22:34
2154,20223059,Pedal cyclist,Male,55,40_to_64,2025-05-06T08:22:34
2155,20223129,Pedestrian,Male,34,26_to_39,2025-05-06T08:22:34
2156,20228009,Passenger,Female,15,0_to_16,2025-05-06T08:22:34
2157,20228009,Passenger,Female,14,0_to_16,2025-05-06T08:22:34
2158,20223252,Driver,Female,76,75_or_older,2025-05-06T08:22:34
2159,20224044,Motorcycle rider,Male,63,40_to_64,2025-05-06T08:22:34
2160,20222032,Pedal cyclist,Male,75,75_or_older,2025-05-06T08:22:34
2161,20223146,Motorcycle rider,Male,25,17_to_25,2025-05-06T08:22:34
2162,20221102,Motorcycle rider,Male,66,65_to_74,2025-05-06T08:22:34
2163,20228007,Passenger,Male,21,17_to_25,2025-05-06T08:22:34
2164,20228007,Passenger,Male,61,40_to_64,2025-05-06T08:22:34
2165,20228007,Passenger,Female,54,40_to_64,2025-05-06T08:22:34
2166,20221245,Driver,Male,17,17_to_25,2025-05-06T08:22:34
2167,20221240,Driver,Female,69,65_to_74,2025-05-06T08:22:34
2168,20223055,Driver,Male,57,40_to_64,2025-05-06T08:22:34
2169,20223258,Motorcycle rider,Male,51,40_to_64,2025-05-06T08:22:34
2170,20223164,Motorcycle rider,Male,52,40_to_64,2025-05-06T08:22:34
2171,20221199,Driver,Female,38,26_to_39,2025-05-06T08:22:34
2172,20221016,Pedestrian,Male,43,40_to_64,2025-05-06T08:22:34
2173,20222205,Driver,Male,82,75_or_older,2025-05-06T08:22:34
2174,20222103,Pedal cyclist,Male,76,75_or_older,2025-05-06T08:22:34
2175,20223152,Motorcycle rider,Male,29,26_to_39,2025-05-06T08:22:34
2176,20224065,Pedestrian,Female,40,40_to_64,2025-05-06T08:22:34
2177,20221080,Passenger,Male,12,0_to_16,2025-05-06T08:22:34
2178,20221008,Driver,Male,37,26_to_39,2025-05-06T08:22:34
2179,20222142,Motorcycle rider,Male,40,40_to_64,2025-05-06T08:22:34
2180,20222019,Passenger,Female,35,26_to_39,2025-05-06T08:22:34
2181,20223246,Driver,Male,19,17_to_25,2025-05-06T08:22:34
2182,20223135,Passenger,Male,46,40_to_64,2025-05-06T08:22:34
2183,20222180,Pedestrian,Male,61,40_to_64,2025-05-06T08:22:34
2184,20221017,Driver,Male,19,17_to_25,2025-05-06T08:22:34
2185,20223166,Driver,Male,63,40_to_64,2025-05-06T08:22:34
2186,20222111,Motorcycle rider,Male,63,40_to_64,2025-05-06T08:22:34
2187,20222135,Driver,Male,22,17_to_25,2025-05-06T08:22:34
2188,20221152,Motorcycle rider,Male,24,17_to_25,2025-05-06T08:22:34
2189,20223162,Pedestrian,Male,57,40_to_64,2025-05-06T08:22:34
2190,20221225,Pedestrian,Male,73,65_to_74,2025-05-06T08:22:34
2191,20226005,Pedestrian,Male,36,26_to_39,2025-05-06T08:22:34
2192,20223208,Driver,Male,30,26_to_39,2025-05-06T08:22:34
2193,20221230,Driver,Male,65,65_to_74,2025-05-06T08:22:34
2194,20226007,Driver,Male,81,75_or_older,2025-05-06T08:22:34
2195,20223005,Driver,Male,18,17_to_25,2025-05-06T08:22:34
2196,20223003,Driver,Male,32,26_to_39,2025-05-06T08:22:34
